Call ID,CallDate,CustomerID,CallDurationMinutes
1,7/13/2018,3687,15.61666667
2,7/13/2018,137,9.416666667
3,7/13/2018,7214,21.55
4,7/13/2018,7343,18
5,7/13/2018,7246,14.16666667
6,7/13/2018,1113,2.45
7,7/13/2018,8070,15.25
8,7/13/2018,6198,16.31666667
9,7/13/2018,7796,20.88333333
10,7/13/2018,1689,10.46666667
11,7/13/2018,1388,8.15
12,7/13/2018,5576,22.56666667
13,7/13/2018,236,17.38333333
14,7/13/2018,2175,9.366666667
15,7/13/2018,2787,19.63333333
16,7/13/2018,193,4.616666667
17,7/13/2018,2308,11.05
18,7/13/2018,2464,10.61666667
19,7/13/2018,7568,13.98333333
20,7/13/2018,2861,5.783333333
21,7/13/2018,317,6.683333333
22,7/14/2018,3232,11.26666667
23,7/14/2018,2912,22.45
24,7/14/2018,2719,11.91666667
25,7/14/2018,529,22.35
26,7/14/2018,7813,16.88333333
27,7/14/2018,7422,19.3
28,7/14/2018,3065,21.51666667
29,7/14/2018,3503,22.78333333
30,7/14/2018,5462,16.41666667
31,7/14/2018,3991,5.3
32,7/14/2018,5069,3.75
33,7/14/2018,6152,2.85
34,7/14/2018,7565,5.016666667
35,7/14/2018,4624,6.266666667
36,7/14/2018,2448,10.38333333
37,7/14/2018,1161,19.56666667
38,7/14/2018,3385,13.96666667
39,7/14/2018,1874,20.3
40,7/14/2018,3910,14.46666667
41,7/14/2018,1687,23.18333333
42,7/14/2018,6470,5.166666667
43,7/15/2018,7240,4.366666667
44,7/15/2018,558,13.43333333
45,7/15/2018,4577,14.93333333
46,7/15/2018,7406,15.8
47,7/15/2018,4318,24.9
48,7/15/2018,3441,3.6
49,7/15/2018,5506,20.25
50,7/15/2018,1689,9.483333333
51,7/15/2018,3081,8.283333333
52,7/15/2018,6533,18.71666667
53,7/15/2018,1112,4.75
54,7/15/2018,4946,18.36666667
55,7/15/2018,3087,20.76666667
56,7/15/2018,2414,4.116666667
57,7/15/2018,2340,19.35
58,7/15/2018,5291,7.466666667
59,7/15/2018,1598,1.783333333
60,7/15/2018,7944,23.81666667
61,7/15/2018,7647,15.08333333
62,7/16/2018,3693,21.45
63,7/16/2018,7956,0.95
64,7/16/2018,6501,5.933333333
65,7/16/2018,7449,22.26666667
66,7/16/2018,2595,20.91666667
67,7/16/2018,2722,10.96666667
68,7/16/2018,5206,17.21666667
69,7/16/2018,4988,18.51666667
70,7/16/2018,5934,19.71666667
71,7/16/2018,6537,16.7
72,7/16/2018,4476,10.45
73,7/16/2018,1492,22.51666667
74,7/16/2018,6486,4.7
75,7/16/2018,3164,16.06666667
76,7/16/2018,1030,4.783333333
77,7/16/2018,1098,9.633333333
78,7/17/2018,3798,14.7
79,7/17/2018,1983,16.08333333
80,7/17/2018,1953,10.41666667
81,7/17/2018,2193,9.833333333
82,7/17/2018,1451,11.83333333
83,7/17/2018,3258,10.2
84,7/17/2018,2886,2.75
85,7/17/2018,260,14.38333333
86,7/17/2018,5580,1.05
87,7/17/2018,758,14.73333333
88,7/17/2018,64,24.05
89,7/17/2018,4343,6.166666667
90,7/17/2018,4893,7.266666667
91,7/17/2018,2089,0.716666667
92,7/17/2018,3221,14.56666667
93,7/17/2018,2253,13.58333333
94,7/17/2018,7264,22.96666667
95,7/17/2018,5027,7.133333333
96,7/17/2018,7847,24.9
97,7/17/2018,4535,20.05
98,7/17/2018,4452,3.45
99,7/17/2018,387,1.5
100,7/17/2018,7541,16.2
101,7/18/2018,1443,14.41666667
102,7/18/2018,3327,2.833333333
103,7/18/2018,3342,12.85
104,7/18/2018,1384,19.45
105,7/18/2018,4814,1.133333333
106,7/18/2018,5692,3.983333333
107,7/18/2018,7686,2.1
108,7/18/2018,5598,8.85
109,7/18/2018,6438,17.4
110,7/18/2018,306,4.3
111,7/18/2018,5871,1.716666667
112,7/18/2018,6032,0.583333333
113,7/18/2018,5249,13.53333333
114,7/18/2018,911,22.56666667
115,7/18/2018,3678,20.3
116,7/18/2018,5535,22.76666667
117,7/18/2018,1301,21.3
118,7/18/2018,4061,3.266666667
119,7/19/2018,3195,4.716666667
